asn=460  	id=4   	RPL	prefix = 0, nexthop = 1
asn=460  	id=4   	Node	update time source called [NODE]
asn=477  	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=3 seqnum=-1 packet buffer: timeslot: 1 channel offset: 3 acked=false[NODE]
asn=477  	id=3   	Node	tx done from=3 source=3 to=1 destination=1 numtx=3 seqnum=-1 packet buffer: timeslot: 1 channel offset: 3 acked=false[NODE]
asn=503  	id=5   	Node	scanning on channel=20...[NODE]
asn=503  	id=6   	Node	scanning on channel=20...[NODE]
asn=604  	id=5   	Node	scanning on channel=25...[NODE]
asn=604  	id=7   	Node	scanning on channel=25...[NODE]
asn=630  	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=4 seqnum=-1 packet buffer: timeslot: 1 channel offset: 3 acked=false[NODE]
asn=630  	id=3   	Node	tx done from=3 source=3 to=1 destination=1 numtx=4 seqnum=-1 packet buffer: timeslot: 1 channel offset: 3 acked=false[NODE]
asn=681  	id=1   	Node	add neighbor id=2 [NODE]
asn=681  	id=1   	RPL	DIO input from 2
asn=681  	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=5 seqnum=-1 packet buffer: timeslot: 1 channel offset: 3 acked=true, remove packet[NODE]
asn=681  	id=2   	RPL	parent switch: null -> 1
asn=681  	id=2   	RPL	Add default route method called with 1[ROUTE]
asn=681  	id=2   	RPL	add the default route via 1[ROUTE]
asn=681  	id=2   	RPL	prefix = 0, nexthop = 1
asn=681  	id=2   	Node	update time source called [NODE]
asn=705  	id=5   	Node	scanning on channel=20...[NODE]
asn=806  	id=6   	Node	scanning on channel=25...[NODE]
asn=820  	id=4   	RPL	DAO output
asn=834  	id=1   	RPL	DAO input from 4
asn=834  	id=1   	Node	Route added to destination node id: 4 through next hop node id: 4 in the routing table of node: 1
asn=834  	id=1   	TSCH	Orchestra: child added 4
asn=834  	id=1   	TSCH	Orchestra: storing mode: add uc cell to 4, timeslot=4
asn=834  	id=1   	Node	Add cell in timeslot: 4 channel offset: 3 in slotframe: 3
asn=834  	id=1   	RPL	DAO ACK output 241 0
asn=834  	id=4   	Node	tx done from=4 source=4 to=1 destination=1 numtx=1 seqnum=-1 packet buffer: timeslot: 1 channel offset: 3 acked=true, remove packet[NODE]
asn=834  	id=4   	TSCH	Orchestra: parent acked a DAO
asn=837  	id=4   	RPL	got DAO ACK seqno 241 (our 241), status 0
asn=837  	id=1   	Node	tx done from=1 source=1 to=4 destination=4 numtx=1 seqnum=-1 packet buffer: timeslot: 4 channel offset: 6 acked=true, remove packet[NODE]
asn=892  	id=2   	RPL	DAO output
